stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9022021483238002,Kolmätars,61.217490,16.503679,0,9021021483238000,B
9022021483239001,Kronåkers,61.209920,16.487046,0,9021021483239000,A
9022021483239002,Kronåkers,61.209956,16.486972,0,9021021483239000,B
9022021483240001,Kyrkbybacken,61.244959,16.549586,0,9021021483240000,A
9022021483240002,Kyrkbybacken,61.244310,16.550111,0,9021021483240000,B
9022021483241001,Källvik,61.291067,16.408781,0,9021021483241000,A
9022021483241002,Källvik,61.291147,16.408857,0,9021021483241000,B
9022021483243001,Landa,61.274969,16.610906,0,9021021483243000,A
9022021483243002,Landa,61.275005,16.610889,0,9021021483243000,B
9022021483244001,Lanses,61.334751,16.455869,0,9021021483244000,A
9022021483244002,Lanses,61.334692,16.457101,0,9021021483244000,B
9022021483245001,Lenninge,61.317987,16.436834,0,9021021483245000,A
9022021483245002,Lenninge,61.318601,16.436193,0,9021021483245000,B
9022021483246002,Lilltjära,61.213266,16.620626,0,9021021483246000,B
9022021483247001,Lillåkers,61.281647,16.587749,0,9021021483247000,A
9022021483247002,Lillåkers,61.281793,16.587286,0,9021021483247000,B
9022021483248001,Lotan,61.216205,16.493378,0,9021021483248000,A
9022021483248002,Lotan,61.216412,16.493271,0,9021021483248000,B
9022021483249001,Lund,61.278433,16.597309,0,9021021483249000,A
9022021483249002,Lund,61.278541,16.597218,0,9021021483249000,B
9022021483250001,Biografteatern,61.230186,16.565956,0,9021021483250000,A
9022021483250002,Biografteatern,61.230258,16.565902,0,9021021483250000,B
9022021483251001,Löten,61.208463,16.529172,0,9021021483251000,A
9022021483251002,Löten,61.208843,16.530223,0,9021021483251000,B
9022021483252001,Murar-Holgers,61.206150,16.463432,0,9021021483252000,A
9022021483252002,Murar-Holgers,61.206215,16.463080,0,9021021483252000,B
9022021483254001,Nolagatan,61.211257,16.516751,0,9021021483254000,A
9022021483254002,Nolagatan,61.211311,16.516678,0,9021021483254000,B
9022021483255001,Norra Görtsbo,61.304107,16.385966,0,9021021483255000,A
9022021483255002,Norra Görtsbo,61.304097,16.386190,0,9021021483255000,B
9022021483256001,Norrbyn,61.251661,16.551458,0,9021021483256000,A
9022021483256002,Norrbyn,61.251785,16.551759,0,9021021483256000,B
9022021483258001,Persbacka,61.212298,16.608432,0,9021021483258000,A
9022021483259001,Petterssons,61.217780,16.547065,0,9021021483259000,A
9022021483259002,Petterssons,61.217772,16.547009,0,9021021483259000,B
9022021483260001,Ricknäs,61.277244,16.397124,0,9021021483260000,A
9022021483260002,Ricknäs,61.277207,16.397272,0,9021021483260000,B
9022021483261001,Rotemo,61.252888,16.563280,0,9021021483261000,A
9022021483261002,Rotemo,61.252505,16.561259,0,9021021483261000,B
9022021483262001,Segersta affären,61.267476,16.646335,0,9021021483262000,A
9022021483263001,Segersta kyrka,61.267686,16.638493,0,9021021483263000,A
9022021483263002,Segersta kyrka,61.267795,16.638403,0,9021021483263000,B
9022021483264001,Segersta skola,61.270122,16.636377,0,9021021483264000,A
9022021483264002,Segersta skola,61.270149,16.636415,0,9021021483264000,B
9022021483265001,Sibo,61.215826,16.592946,0,9021021483265000,A
9022021483265002,Sibo,61.215721,16.594041,0,9021021483265000,B
9022021483268001,Stenbacka,61.226920,16.420547,0,9021021483268000,A
9022021483268002,Stenbacka,61.226812,16.420731,0,9021021483268000,B
9022021483269001,Storms,61.251659,16.616011,0,9021021483269000,A
9022021483269002,Storms,61.250849,16.610439,0,9021021483269000,B
